Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.5637583892617449,0.6345103578154425,0.7108175914994097,0.5440207156308852,0.7108175914994097,Naïve Bayes + TF-IDF,tensorflow,26
0.8288590604026845,0.7178296419782488,0.7024793388429752,0.7095350037268505,0.7024793388429751,BERT + LSTM,tensorflow,26
0.5436241610738255,0.6345261121856867,0.7052833530106257,0.5281296572280179,0.7052833530106257,Naïve Bayes + TF-IDF,tensorflow,27
0.7919463087248322,0.6759398496240602,0.7072018890200709,0.6880108071597433,0.7072018890200709,BERT + LSTM,tensorflow,27
0.5234899328859061,0.6076228878648233,0.6654368358913814,0.5060465984965214,0.6654368358913814,Naïve Bayes + TF-IDF,tensorflow,28
0.785234899328859,0.6640664961636829,0.689344746162928,0.6741388737014762,0.689344746162928,BERT + LSTM,tensorflow,28
0.5369127516778524,0.6385121855345912,0.7080135773317591,0.5234983314794216,0.7080135773317591,Naïve Bayes + TF-IDF,tensorflow,29
0.7785234899328859,0.6705848623853211,0.7195247933884297,0.6856138107416879,0.7195247933884298,BERT + LSTM,tensorflow,29
0.5503355704697986,0.625615763546798,0.6956906729634003,0.5313365569691564,0.6956906729634003,Naïve Bayes + TF-IDF,tensorflow,30
0.7483221476510067,0.6587423706211213,0.728379574970484,0.6702518479174966,0.728379574970484,BERT + LSTM,tensorflow,30
0.6556291390728477,0.6243372216330859,0.7805023923444976,0.5830501274426508,0.7805023923444976,Naïve Bayes + TF-IDF,pytorch,1
0.8344370860927153,0.6779149159663865,0.7701355661881978,0.7051011639715647,0.7701355661881977,BERT + LSTM,pytorch,1
0.6291390728476821,0.6168774148226204,0.7653508771929824,0.5623188405797102,0.7653508771929824,Naïve Bayes + TF-IDF,pytorch,2
0.7682119205298014,0.6184684684684685,0.7097288676236044,0.6313733696031247,0.7097288676236044,BERT + LSTM,pytorch,2
0.609271523178808,0.6117543859649123,0.753987240829346,0.5469616069158403,0.753987240829346,Naïve Bayes + TF-IDF,pytorch,3
0.8741721854304636,0.7224409448818898,0.770334928229665,0.7423902307623238,0.7703349282296651,BERT + LSTM,pytorch,3
0.695364238410596,0.6282331511839708,0.7807017543859649,0.6088963963963964,0.780701754385965,Naïve Bayes + TF-IDF,pytorch,4
0.7880794701986755,0.6398809523809523,0.7436204146730463,0.6585641605426794,0.7436204146730462,BERT + LSTM,pytorch,4
0.5761589403973509,0.603968253968254,0.7350478468899522,0.5215841584158416,0.7350478468899521,Naïve Bayes + TF-IDF,pytorch,5
0.7218543046357616,0.621101270696958,0.7507974481658692,0.6170289855072464,0.7507974481658692,BERT + LSTM,pytorch,5
0.6357615894039735,0.6090828924162257,0.7466108452950558,0.561903254734399,0.7466108452950558,Naïve Bayes + TF-IDF,pytorch,6
